"Note: Extra time is compared against the fastest machine for 10,000 sheets."
Die,Machine 1,Machine 2,Machine 3,Machine 4,Machine 5,Machine 6
73829,75 (27839) - fastest,ALPINA (18599) - +0h 11m,DIANA (18431) - +0h 11m,115D (16892) - +0h 14m,,
73882,115D (6410) - fastest,,,,,
73888,115D (22465) - fastest,DIANA (18882) - +0h 5m,,,,
74007,ALPINA (10251) - fastest,,,,,
74129,75 (21459) - fastest,110WP (18208) - +0h 5m,,,,
74179,ALPINA (11550) - fastest,DGM (10031) - +0h 8m,INT (9309) - +0h 13m,MONDINI4 (8936) - +0h 15m,MONDINI2 (1964) - +4h 14m,
74248,110WP (12940) - fastest,,,,,
74277,75 (24892) - fastest,INT (23367) - +0h 2m,110WP (19861) - +0h 6m,DIANA (17641) - +0h 10m,,
74286,75 (39029) - fastest,DIANA (25318) - +0h 8m,,,,
74298,110WP (10833) - fastest,DIANA (9121) - +0h 10m,ALPINA (8476) - +0h 15m,,,
74312,75 (21966) - fastest,110WP (18595) - +0h 5m,,,,
74317,FLAT (22519) - fastest,,,,,
74326,FLAT (24259) - fastest,,,,,
74328,FLAT (31059) - fastest,,,,,
74359,75 (93462) - fastest,,,,,
74468,115D (4782) - fastest,ALPINA (4628) - +0h 4m,DIANA (4413) - +0h 10m,,,
74605,75 (31258) - fastest,DIANA (19249) - +0h 12m,110WP (18017) - +0h 14m,115D (14385) - +0h 23m,,
74642,75 (36785) - fastest,DIANA (24310) - +0h 8m,110WP (23336) - +0h 9m,ALPINA (14167) - +0h 26m,,
74715,110WP (24887) - fastest,,,,,
74716,110WP (20400) - fastest,ALPINA (10536) - +0h 28m,,,,
74764,75 (18818) - fastest,,,,,
74840,INT (46767) - fastest,110WP (31751) - +0h 6m,,,,
74856,ALPINA (1300) - fastest,,,,,
74865,DIANA (18809) - fastest,ALPINA (16547) - +0h 4m,,,,
74872,INT (50952) - fastest,75 (46022) - +0h 1m,,,,
74873,INT (40641) - fastest,110WP (25147) - +0h 9m,,,,
74944,INT (31075) - fastest,110WP (30886) - +0h 0m,115D (20267) - +0h 10m,ALPINA (17437) - +0h 15m,,
74945,110WP (28604) - fastest,ALPINA (28443) - +0h 0m,,,,
74946,FLAT (20482) - fastest,,,,,
75010,INT (60892) - fastest,,,,,
75049,75 (29278) - fastest,INT (18507) - +0h 12m,115D (17083) - +0h 15m,110WP (11567) - +0h 31m,ALPINA (5417) - +1h 30m,
75050,75 (51855) - fastest,INT (42406) - +0h 3m,ALPINA (33211) - +0h 6m,,,
75052,75 (38960) - fastest,ALPINA (37027) - +0h 1m,110WP (26026) - +0h 8m,,,
75092,115D (20360) - fastest,,,,,
75122,FLAT (40558) - fastest,,,,,
75126,INT (29200) - fastest,,,,,
75127,INT (45893) - fastest,110WP (39834) - +0h 2m,,,,
75138,INT (52128) - fastest,110WP (31390) - +0h 8m,ALPINA (28239) - +0h 10m,,,
75161,INT (52191) - fastest,,,,,
75162,INT (40874) - fastest,110WP (30979) - +0h 5m,,,,
75168,ALPINA (30350) - fastest,INT (28571) - +0h 1m,110WP (22984) - +0h 6m,,,
75183,110WP (39246) - fastest,75 (35436) - +0h 2m,,,,
75247,FLAT (15433) - fastest,,,,,
75255,110WP (53717) - fastest,FLAT (53346) - +0h 0m,DIANA (39064) - +0h 4m,,,
75259,110WP (19286) - fastest,FLAT (11515) - +0h 21m,,,,
75274,75 (30435) - fastest,INT (18901) - +0h 12m,ALPINA (18233) - +0h 13m,DIANA (17407) - +0h 15m,110WP (17168) - +0h 15m,
75279,110WP (24493) - fastest,ALPINA (24167) - +0h 0m,,,,
75300,75 (33329) - fastest,110WP (26226) - +0h 5m,DIANA (24491) - +0h 6m,,,
75301,DIANA (8507) - fastest,115D (7600) - +0h 8m,ALPINA (7338) - +0h 11m,,,
75310,DIANA (24895) - fastest,,,,,
75324,75 (39925) - fastest,INT (27328) - +0h 7m,115D (18115) - +0h 18m,DIANA (11942) - +0h 35m,,
75325,75 (23249) - fastest,115D (17929) - +0h 8m,,,,
75332,75 (40542) - fastest,,,,,
75351,115D (3931) - fastest,ALPINA (3743) - +0h 8m,,,,
75387,115D (5570) - fastest,,,,,
75407,75 (30509) - fastest,110WP (20444) - +0h 10m,,,,
75413,FLAT (23095) - fastest,,,,,
75435,75 (31309) - fastest,DIANA (29006) - +0h 2m,,,,
75496,115D (14492) - fastest,,,,,
75512,No valid speed data,,,,,
75523,ALPINA (12808) - fastest,110WP (3182) - +2h 22m,,,,
75535,75 (20961) - fastest,INT (12459) - +0h 20m,110WP (10833) - +0h 27m,,,
75548,110WP (4755) - fastest,,,,,
75553,DIANA (12283) - fastest,,,,,
75558,DIANA (8772) - fastest,,,,,
75627,75 (33098) - fastest,INT (29090) - +0h 2m,ALPINA (14802) - +0h 22m,,,
75631,FLAT (16066) - fastest,,,,,
75637,No valid speed data,,,,,
75655,75 (37339) - fastest,110WP (29030) - +0h 5m,,,,
75656,FLAT (19618) - fastest,,,,,
75680,ALPINA (1956) - fastest,,,,,
75685,FLAT (15584) - fastest,,,,,
75692,115D (6059) - fastest,,,,,
75694,110WP (17660) - fastest,ALPINA (16113) - +0h 3m,,,,
75738,110WP (26522) - fastest,,,,,
75770,110WP (3401) - fastest,,,,,
75775,FLAT (10560) - fastest,,,,,
75841,FLAT (7671) - fastest,,,,,
75844,FLAT (4460) - fastest,,,,,
75853,115D (8862) - fastest,,,,,
75864,115D (8143) - fastest,ALPINA (7647) - +0h 5m,,,,
75880,75 (32190) - fastest,ALPINA (25417) - +0h 5m,110WP (20314) - +0h 11m,,,
75899,FLAT (14542) - fastest,,,,,
75915,FLAT (6595) - fastest,,,,,
75921,FLAT (9331) - fastest,,,,,
75961,INT (18680) - fastest,,,,,
75962,ALPINA (9600) - fastest,DIANA (9442) - +0h 1m,,,,
